지역,가구수,참여가구,참여율(%),,
강원,"641,021","46,041",7.18,,
경남,"1,347,182","208,248",15.46,,
광주,"596,078","359,869",60.37,,
대전,"616,363","100,060",16.23,,
세종,"131,679","4,947",3.76,,
인천,"1,150,455","104,331",9.07,,
전북,"749,586","186,571",24.89,,
충남,"892,159","83,767",9.39,,
경기,"5,097,857","253,725",4.98,,
경북,"1,123,145","125,163",11.14,,
대구,"979,852","143,227",14.62,,
부산,"1,392,291","90,766",6.52,,
울산,"445,731","37,780",8.48,,
전남,"751,965","119,323",15.87,,
제주,"261,162","105,459",40.38,,
충북,"670,865","51,655",7.7,,
